i,smiles,A_G_eV
68,CC(O)C=O,-41.04577054
69,CN(C)C=O,-44.09641031
70,CC(=O)CO,-41.43557345
71,CCC(=O)C,-48.8727137
72,CCC(=O)N,-44.62844707
73,CC(=O)NC,-44.50156044
74,CNC(=O)N,-39.94931549
75,COC(C)=N,-43.72274374
76,CC(=O)OC,-41.97727024
77,COC(=O)N,-37.52053721
78,C(C(=O)N)O,-36.86904253
79,[NH3+]CC([O-])=O,-37.16311583
80,CC(C)CO,-52.98046088
81,CC(O)CO,-45.6547512
82,CCC(C)C,-60.45430928
83,CCC(C)O,-53.10386446
84,CC(C)OC,-52.83768281
85,CC1(CC1)C,-55.01652463
86,CC1(CO1)C,-47.67092343
87,CC1(CC1)O,-47.59960242
88,N=C1CCO1,-38.40599528
89,C1CC(=O)C1,-43.37598922
90,C1CNC1=O,-39.08105501
91,C1COC1=O,-36.64275275
92,C1C(=O)CN1,-38.11423494
93,C1C(=O)CO1,-35.62414944
94,CC1CCC1,-54.97524498
95,CC1CCO1,-47.54841783
96,CC1COC1,-47.41200722
97,C1CC(C1)O,-47.58961585
98,C1C(CO1)O,-39.94615897
99,CC1CC1C,-54.94784312
100,CC1CC1O,-47.48955963
101,CC1CN1C,-49.63944855
102,CC1OC1C,-47.64297735
103,OC1CC1O,-40.01043223
104,C1C2CC1C2,-48.74065691
105,C1C2CC1O2,-40.9628847
106,C#CCC#C,-38.47366996
107,C#CCC#N,-35.19203284
108,C(C#N)C#N,-31.80288359
109,C#CCC=O,-37.50671383
110,C(C=O)C#N,-34.19764765
111,C(=N)NC=O,-34.43068585
112,N=COC=O,-31.87183721
113,C(=O)NC=O,-32.50357644
114,CC#CC#C,-39.18040373
115,CC#CC#N,-35.75187963
116,CC#CC=O,-37.83599866
117,CC#CCO,-42.23585992
118,CCC#CC,-49.90960306
119,CN=COC,-43.16583579
120,CCCC#C,-49.56309344
121,CCCC#N,-46.35449165
122,CNCC#N,-40.98881713
123,COCC#C,-41.65661143
124,COCC#N,-38.36398092
125,C#CCCO,-42.03993804
126,C(CO)C#N,-38.8106556
127,CCCC=O,-48.47281537
128,CCNC=O,-44.27649518
129,CCOC=O,-41.60243359
130,COCC=O,-40.66856649
131,C(CO)C=O,-40.91940092
132,CCCCC,-60.46399653
133,CCCCO,-52.93822883
134,CCCOC,-52.75014382
135,CCOCC,-52.89743898
136,COCCO,-45.29052698
137,C(CO)CO,-45.38924984
138,C#CC1CC1,-44.05083126
139,C#CC1CN1,-38.92129704
140,C#CC1CO1,-36.4251162
141,C1CC1C#N,-40.82078691
142,N#CC1CN1,-35.6230882
143,N#CC1CO1,-33.07632141
144,C1CC1C=O,-43.06768437
145,O=CC1CN1,-37.95913012
146,O=CC1CO1,-35.41266265
147,C1CN1C=O,-38.18558316
148,CCC1CC1,-54.92101271
149,CCC1CO1,-47.47426684
150,CCN1CC1,-49.66973481
151,COC1CC1,-47.17660164
152,C1CC1CO,-47.38626526
153,OCC1CN1,-42.28818739
154,OCC1CO1,-39.96400963
155,C1CC=CC1,-50.59922088
156,C1COC=N1,-38.78513133
157,C1C=CCO1,-42.98226787
158,C1CCCC1,-55.68380191
159,C1CCOC1,-48.11710831
160,C1COCO1,-40.64606268
161,C1C2CCC12,-49.32347009
162,C1C2COC12,-41.61671956
163,C1CC2OC12,-41.86412536
164,c1c[nH]nc1,-36.60430308
165,c1cnn[nH]1,-31.40752956
166,c1[nH]ncn1,-32.10041274
167,c1[nH]cnn1,-31.84895245
168,c1cn[nH]n1,-31.5667433
169,c1cnoc1,-33.33651656
170,c1conn1,-28.2856232
171,c1ncon1,-28.86612341
172,c1nnco1,-29.10985568
173,c1nnno1,-23.22196771
174,c1cnon1,-27.8111385
175,c1nnon1,-22.77409573
176,n1nnon1,-17.21228165
177,CC(=NO)C#C,-42.72503876
178,CC(=NO)CO,-46.22189063
179,CCC(=NO)C,-53.66994264
180,C1CC(=NO)C1,-48.11863215
181,C1C(=NO)CN1,-42.85464653
182,C1C(=NO)CO1,-40.37403059
183,C(F)(F)(F)F,-19.49874444
184,N=C1NC=CO1,-40.56350338
185,N=C1OC=CO1,-37.8224746
186,c1c[nH]c(=O)[nH]1,-41.59524978
187,c1coc(=O)[nH]1,-38.89612652
188,c1coc(=O)o1,-36.15893455
189,Cc1ccc[nH]1,-52.9070446
190,Cc1ccco1,-50.19194826
191,Cc1cnco1,-45.67107802
192,Cc1ncco1,-45.72816748
193,c1cc([nH]c1)N,-47.93939083
194,c1cc(oc1)N,-45.26791433
195,c1c(ocn1)N,-40.72628181
196,c1coc(n1)N,-40.92691126
197,c1cc([nH]c1)O,-45.44672026
198,c1c([nH]cn1)O,-40.84712752
199,c1cnc([nH]1)O,-41.14487436
200,Cc1cc[nH]c1,-52.85185994
201,Cc1c[nH]cn1,-48.36900399
202,Cc1ccoc1,-50.08019115
203,Cc1cocn1,-45.63045144
204,c1c[nH]cc1N,-47.84850485
205,c1c(nc[nH]1)N,-43.46975961
206,c1cocc1N,-45.08510832
207,c1c(nco1)N,-40.73153361
208,c1c[nH]cc1O,-45.34500414
209,c1c(nc[nH]1)O,-41.04315825
210,c1c(nco1)O,-38.25510822
211,Cn1cccc1,-52.64233237
212,Cn1ccnc1,-48.09868621
213,c1ccccc1,-53.29573185
214,c1ccncc1,-48.41469188
215,c1cnccn1,-43.43435762
216,c1cncnc1,-43.60374841
217,c1ncncn1,-38.85735032
218,CC(C)(C)C#C,-60.67556495
219,CC(C)(C)C#N,-57.47863684
220,CC(C)(C#N)N,-52.52613981
221,CC(C)(C#C)O,-53.22071009
222,CC(C)(C#N)O,-49.96862453
223,CC(C)(C)C=O,-59.6468118
224,CC(C)(C=O)O,-52.29429891
225,CC(C)(C)CO,-64.08811598
226,CC(C)(CO)O,-56.79212112
227,CCC(C)(C)C,-71.50582731
228,CCC(C)(C)O,-64.25786052
229,CC(C)(C)OC,-63.94185485
230,CC#CC(=O)C,-49.30284387
231,CC#CC(=O)N,-45.05914868
232,CC#CC(C)C,-61.01238732
233,CC#CC(C)O,-53.55317864
234,CC(=O)CC#C,-48.95026612
235,CC(=O)CC#N,-45.66065607
236,C#CCC(=O)N,-44.66080139
237,C(C#N)C(=O)N,-41.40493344
238,CC(=N)NC=O,-46.03753358
239,CC(=N)OC=O,-43.40388088
240,CC(=O)CC=O,-47.87753938
241,CC(=O)NC=N,-45.82517603
242,CC(=O)NC=O,-43.92054321
243,CC(=O)OC=N,-43.50927052
244,C(=O)NC(=N)N,-41.47007747
245,C(C=O)C(=O)N,-43.66410323
246,C(=N)NC(=O)N,-41.32433336
247,C(=O)NC(=O)N,-39.45164669
248,NC(=O)OC=N,-39.15681147
249,CC(C)CC#C,-60.67600033
250,CC(C)CC#N,-57.47294966
251,CC(O)CC#C,-53.28759565
252,CC(O)CC#N,-50.03787747
253,CN(C)CC#N,-51.95080975
254,CC(C)CC=O,-59.58278344
255,CC(C)NC=O,-55.46287277
256,CC(C)OC=O,-52.85164224
257,CC(O)CC=O,-52.18006557
258,CN(C)CC=O,-54.1624957
259,CC(=O)CCO,-52.42698156
260,CCCC(=O)C,-59.9648039
261,CCCC(=O)N,-55.71074117
262,CCNC(=O)C,-55.67335274
263,CCNC(=O)N,-51.12480854
264,CCOC(=O)C,-53.20713162
265,CCOC(=O)N,-48.75298366
266,C[NH2+]CC([O-])=O,-48.05884876
267,CC(=O)COC,-52.048553
268,COCC(=O)N,-47.75614945
269,C(CO)C(=O)N,-48.21335493
270,[NH3+]CCC([O-])=O,-46.15405268
271,CC(C)CCO,-64.01004655
272,CC(O)CCO,-56.67478568
273,CCCC(C)C,-71.53622242
274,CCCC(C)O,-64.19570975
275,CCOC(C)C,-64.07282319
276,CC(C)COC,-63.87603054
277,COCC(C)O,-56.51706856
278,CC(=O)C(=O)C,-48.12102675
279,CC(=O)C(=N)N,-45.83674086
280,CC(=O)C(=O)N,-43.99366017
281,NC(=[NH2+])C([O-])=O,-39.07686446
282,C(=O)(C(=O)N)N,-39.90000848
283,CC(C)C(=O)C,-59.90902058
284,CC(C)C(=O)N,-55.73389805
285,CC([NH3+])C([O-])=O,-48.35711262
286,CC(O)C(C)=O,-52.60703922
287,CC(O)C(N)=O,-48.39376633
288,CC(=O)N(C)C,-55.33375481
289,CN(C)C(=O)N,-50.83487136
290,CC(C)C(C)C,-71.48536436
291,CC(C)C(C)O,-64.1621037
292,CC(O)C(C)O,-56.89356511
293,CC1(CCC1)C,-66.11849255
294,CC1(CCO1)C,-58.81857925
295,CC1(COC1)C,-58.60796322
296,CC1(CCC1)O,-58.82984476
297,CC1(COC1)O,-51.2309601
298,CC1(C)CC1O,-58.68461766
299,CC1(O)CC1O,-51.27106967
300,CC1CC1(C)C,-66.13378534
301,CC1CC1(C)O,-58.74167991
302,CC1OC1(C)C,-58.92698936
303,CC1(CN1C)C,-60.88441223
304,CC1CC(=N)O1,-49.72274256
305,CC1CC(=O)C1,-54.51020262
306,CC1CC(=O)N1,-50.31660356
307,CC1CC(=O)O1,-47.95560881
308,CN1CC(=O)C1,-49.1344599
309,C1C(CC1=O)O,-47.05355181
310,CC1CC(C)C1,-66.16303757
311,CC1CC(C)O1,-58.86258004
312,CC1CC(O)C1,-58.75460531
313,CN1CC(C1)O,-53.46049671
314,OC1CC(O)C1,-51.33305717
315,CC12CC(C1)C2,-60.0471183
316,CC12CC(C1)O2,-52.38200116
317,CC12CN(C1)C2,-54.5166245
318,OC12CC(C1)C2,-52.71776229
319,OC12CN(C1)C2,-47.24982744
320,C#CC(=O)C#C,-37.68475785
321,C#CC(=O)C#N,-34.17155195
322,C(#N)C(=O)C#N,-30.49902346
323,C#CC(=O)C=O,-36.41425886
324,C(=O)C(=O)C#N,-32.84126957
325,C(=O)C(=O)C=O,-34.94359301
326,CC(C#C)C#C,-49.59392392
327,CC(C#C)C#N,-46.3273347
328,CC(C#N)C#N,-42.96058041
329,NC(C#C)C#N,-41.22378734
330,C(#N)C(C#N)N,-37.82048817
331,C#CC(C#C)O,-42.02293093
332,OC(C#C)C#N,-38.69266709
333,C(#N)C(C#N)O,-35.24566646
334,CC(C=O)C#C,-48.62446435
335,CC(C=O)C#N,-45.32704464
336,OC(C=O)C#C,-41.14520089
337,OC(C=O)C#N,-37.78448753
338,CC(C=O)C=O,-47.48202208
339,CN(C=N)C=O,-45.79268565
340,CN(C=O)C=O,-43.84475954
341,C(=O)C(C=O)O,-40.04221511
342,CN=C(C#N)N,-42.87976263
343,CN=C(C=O)N,-45.38105921
344,CCC(=O)C#C,-48.87418312
345,CCC(=O)C#N,-45.43477446
346,CNC(=N)C#N,-42.99753345
347,CNC(=O)C#C,-44.49067589
348,COC(=O)C#C,-41.85449253
349,COC(=O)C#N,-38.37731449
350,C#CC(=O)CO,-41.16231685
351,C(C(=O)C#N)O,-37.70505753
352,CCC(=O)C=O,-47.73590419
353,CNC(=N)C=O,-45.23591375
354,CNC(=O)C=O,-43.22746955
355,COC(=O)C=O,-40.64170886
356,C(C(=O)C=O)O,-39.79301336
357,CCC(=O)CC,-59.98099466
358,CCC(=O)CO,-52.26442082
359,CCC(=O)NC,-55.58834441
360,CCC(=O)OC,-53.07986403
361,CNC(=O)CO,-47.85715807
362,CNC(=O)NC,-50.90238278
363,CNC(=O)OC,-48.51278888
364,COC(=O)CN,-48.04761046
365,COC(=O)CO,-45.56800134
366,C(C(=O)CO)O,-44.51766957
367,CC(=NC)OC,-54.63570147
368,CC(CO)C#C,-53.15562049
369,CC(CO)C#N,-49.93431098
370,CCC(C)C#C,-60.62840764
371,CCC(C)C#N,-57.42669033
372,CCC(N)C#N,-52.43811101
373,CCC(O)C#C,-53.19102248
374,CCC(O)C#N,-49.91836512
375,CNC(C)C#N,-52.13263615
376,COC(C)C#C,-52.84021347
377,COC(C)C#N,-49.67495939
378,NC(CO)C#N,-44.86434246
379,NCC(N)C#N,-47.36033282
380,NCC(O)C#N,-44.87122694
381,OCC(O)C#C,-45.7456644
382,OCC(O)C#N,-42.41559104
383,CC(CO)C=O,-52.09494839
384,CCC(C)C=O,-59.55475572
385,CCC(O)C=O,-52.27239376
386,CCN(C)C=O,-55.23119515
387,COC(C)C=O,-51.87676761
388,OCC(O)C=O,-44.78447708
389,CC(CO)CO,-56.52498707
390,CCC(C)CC,-71.49709246
391,CCC(C)CO,-64.02215561
392,CCC(C)OC,-63.93116078
393,CCC(CC)O,-64.19892069
394,CCC(O)CO,-56.75152175
395,COC(C)CO,-56.47268681
396,C(C(CO)O)O,-49.24967285
397,CC1(CC1)C#C,-55.22428346
398,CC1(CC1)C#N,-52.00585836
399,CC1(CN1)C#C,-50.08160614
400,CC1(CN1)C#N,-46.81926189
401,CC1(CO1)C#C,-47.72545502
402,CC1(CO1)C#N,-44.40806216
403,C1CC1(C#N)N,-47.0386944
404,C#CC1(CC1)O,-47.72825779
405,C1CC1(C#N)O,-44.45124661
406,CC1(CC1)C=O,-54.29604912
407,CC1(CN1)C=O,-49.16825642
408,CC1(CO1)C=O,-46.76111119
409,C1CC1(C=O)O,-46.90073274
410,CC1(CC1)CO,-58.58872478
411,CC1(CO)CN1,-53.64030946
412,CC1(CO)CO1,-51.26802199
413,CCC1(CC1)C,-66.07280465
414,CCC1(C)CO1,-58.72831912
415,CCC1(CC1)O,-58.685434
416,CC1(CC1)OC,-58.40390514
417,C1CC1(CO)O,-51.22279669
418,CC1CCC1=O,-54.52195793
419,CC1CNC1=O,-50.24862955
420,CC1COC1=N,-49.58586936
421,CC1COC1=O,-47.81405525
422,CC1NCC1=O,-49.37032808
423,CC1OCC1=O,-46.9351007
424,CN1CCC1=O,-50.19192105
425,NC1COC1=N,-44.57342567
426,NC1COC1=O,-42.77837306
427,OC1CCC1=O,-47.02734726
428,OC1CNC1=O,-42.71322903
429,OC1COC1=N,-42.06260511
430,OC1COC1=O,-40.23108925
431,CC1CCC1C,-66.06562085
432,CC1CCC1O,-58.69490356
433,CC1COC1C,-58.67503926
434,CC1OCC1O,-51.25300131
435,OC1CCC1O,-51.38160226
436,N=C1CN=CN1,-43.13312772
437,C1C=CCC1=O,-50.09270838
438,C1C=CNC1=O,-45.87429255
439,C1C(=O)NC=N1,-41.3366329
440,C1C(=O)OC=N1,-38.76583847
441,N=C1OCC=C1,-45.21270245
442,C1CC(=O)C=C1,-50.29461677
443,C1C=CC(=O)N1,-45.90553121
444,N=C1CCCO1,-50.19717284
445,N=C1COCO1,-42.61747221
446,N=C1OCCO1,-42.88980363
447,C1CCC(=O)C1,-55.18583379
448,C1CC(=O)NC1,-50.91378434
449,C1CC(=O)OC1,-48.36152086
450,C1COCC1=O,-47.49946457
451,C1C(=O)OCO1,-40.74943869
452,C1CNC(=O)N1,-46.28175565
453,C1COC(=O)N1,-43.77281267
454,C1COC(=O)O1,-41.2138824
455,CC1=CCCC1,-61.90053931
456,CC1=CCOC1,-54.29474297
457,CC1=NCCO1,-50.24068383
458,CC1CC=CC1,-61.72494432
459,CC1CN=CO1,-50.05831321
460,OC1CC=CC1,-54.33044429
461,CC1CCC=C1,-61.72954305
462,CC1COC=N1,-49.99746858
463,CC1OCC=C1,-54.24271483
464,OC1CCC=C1,-54.337873
465,CC1CCCC1,-66.823512
466,CC1CCCO1,-59.38536493
467,CC1CCOC1,-59.25894089
468,CC1COCO1,-51.9042511
469,CC1OCCO1,-52.02626689
470,C1CCC(C1)O,-59.40871229
471,OC1CCOC1,-51.81344674
472,CC1C(C)C1C,-66.01658596
473,CC1C(C)C1O,-58.60779995
474,CC1C(C)N1C,-60.74498116
475,CC1C(O)C1O,-51.13650943
476,OC1C(O)C1O,-43.78647278
477,CC12CC1CC2,-60.58906
478,CC12CC1CO2,-52.99613463
479,CC12CC1OC2,-52.88279927
480,CC12CCC1O2,-53.24136352
481,OC12CC1CC2,-53.13464052
482,OC12CC1OC2,-45.37501829
483,C#CC#CC#C,-39.46174211
484,C#CC#CC#N,-35.84698337
485,C(#CC#N)C#N,-32.26702798
486,C#CCCC#C,-49.72051123
487,C#CCCC#N,-46.47171824
488,C(CC#N)C#N,-43.16295138
489,C#CC#CC=O,-38.06449255
490,C(=O)C#CC#N,-34.45827818
491,C(=O)C#CC=O,-36.59175864
492,N=COCC#C,-43.39016635
493,N=COCC#N,-40.03843273
494,C#CCCC=O,-48.61031444
495,C(CC#N)C=O,-45.34304493
496,C#CCNC=O,-44.33312204
497,C(C#N)NC=O,-41.02323952
498,C#CCOC=O,-41.57149426
499,C(C#N)OC=O,-38.18294366
500,N=COCC=O,-42.36497788
501,C(CC=O)C=O,-47.52351943
502,C(C=O)NC=O,-43.29024619
503,C(C=O)OC=O,-40.52709456
504,CC#CC#CC,-50.69261031
505,CC#CCC#C,-49.9496582
506,CC#CCC#N,-46.69498755
507,CC#CCC=O,-48.99048453
508,CN=CNC=O,-45.47121049
509,CN=COC=O,-42.89747723
510,CCC#CC#C,-50.26416724
511,CCC#CC#N,-46.84037792
512,C#CC#CCO,-42.54990637
513,C(C#CC#N)O,-39.0896538
514,CCC#CC=O,-48.90411563
515,C(C#CC=O)O,-41.17619465
516,CCC#CCC,-60.98857737
517,CCC#CCO,-53.30819465
518,C(C#CCO)O,-45.60890004
519,CCN=COC,-54.23719092
520,CC#CCCO,-53.49848378
521,CCCC#CC,-61.01148935
522,CC#CCOC,-53.13194659
523,CCOC=NC,-54.40878583
524,CCCCC#C,-60.65126519
525,CCCCC#N,-57.44500358
526,CCNCC#N,-52.16289519
527,CCOCC#C,-52.89765668
528,CCOCC#N,-49.61269977
529,COCCC#C,-52.93118109
530,COCCC#N,-49.69885098
531,C#CCCCO,-53.10936116
532,C(CC#N)CO,-49.88968433
533,CCCCC=O,-59.56847025
534,CCCNC=O,-55.37359226
535,CCCOC=O,-52.69651021
536,CCOCC=O,-51.9126322
537,COCCC=O,-51.80770515
538,C(CC=O)CO,-52.03595414
539,C(CO)NC=O,-47.89304987
540,OCCOC=N,-47.02751053
541,C(COC=O)O,-45.20464788
542,CCCCCC,-71.55382818
543,CCCCCO,-64.02980201
544,CCCCOC,-63.83450599
545,CCCOCC,-63.98512094
546,CCOCCO,-56.53192597
547,COCCCO,-56.2872141
548,COCCOC,-56.07308781
549,C(CCO)CO,-56.50762622
550,C#CC1CCC1,-55.17878604
551,C#CC1CCO1,-47.58153407
552,C#CC1COC1,-47.56218679
553,C1CC(C1)C#N,-51.96234738
554,N#CC1CCN1,-46.77819993
555,N#CC1CCO1,-44.2758421
556,C1C(CO1)C#N,-44.28533887
557,C1CC(C1)C=O,-54.08769164
558,O=CC1CCO1,-46.53106624
559,C1C(CO1)C=O,-46.4680447
560,C1CN(C1)C=O,-49.77694762
561,CN=C1CCO1,-49.36360687
562,CCC1CCC1,-66.05887243
563,CCC1CCO1,-58.65180074
564,CCC1COC1,-58.50284569
565,COC1CCC1,-58.43835474
566,COC1COC1,-50.80899335
567,C1CC(C1)CO,-58.54031575
568,OCC1CCO1,-51.16736712
569,C1C(CO1)CO,-50.97549974
570,C#CCC1CC1,-55.08316528
571,C#CCC1CO1,-47.59024171
572,C#CCN1CC1,-49.76165483
573,C1CC1CC#N,-51.87342061
574,N#CCC1CN1,-46.72957321
575,N#CCC1CO1,-44.33557107
576,C1CN1CC#N,-46.47030325
577,N=COC1CC1,-48.90879598
578,C1CC1CC=O,-54.01422093
579,O=CCC1CN1,-48.90966675
580,O=CCC1CO1,-46.52461715
581,C1CN1CC=O,-48.71173122
582,C1CC1NC=O,-49.76383174
583,C1CC1OC=O,-47.08778372
584,CC#CC1CC1,-55.48790724
585,CC#CC1CN1,-50.39731249
586,CC#CC1CO1,-47.917785
587,CCCC1CC1,-66.01258589
588,CCCC1CO1,-58.56630261
589,CCCN1CC1,-60.75809704
590,CCOC1CC1,-58.41209576
591,COCC1CC1,-58.28610711
592,COCC1CN1,-53.18470945
593,COCC1CO1,-50.77555057
594,C1CC1CCO,-58.48918558
595,OCCC1CO1,-51.03778657
596,C1CN1CCO,-53.32384119
597,CC1CC1C#C,-55.23290946
598,CC1CC1C#N,-52.014566
599,CC1NC1C#C,-50.12587905
600,CC1NC1C#N,-46.85817415
601,CC1OC1C#C,-47.75302014
602,CC1OC1C#N,-44.42487879
603,CN1CC1C#C,-49.86712611
604,CN1CC1C#N,-46.59114895
605,OC1CC1C#C,-47.76208153
606,OC1CC1C#N,-44.5007441
607,CC1CC1C=O,-54.17406053
608,CC1CN1C=O,-49.42050585
609,CC1NC1C=O,-49.09840483
610,CC1OC1C=O,-46.63041497
611,CN1CC1C=O,-48.78588221
612,OC1CC1C=O,-46.68113696
613,CC1CC1CO,-58.49032846
614,CC1NC1CO,-53.58362817
615,CC1OC1CO,-51.21422511
616,CCC1CC1C,-66.03449104
617,CCC1CC1O,-58.57533679
618,CCC1CN1C,-60.71137512
619,CCC1OC1C,-58.72948921
620,CCN1CC1C,-60.8075129
621,CN1CC1CO,-53.1372256
622,COC1CC1C,-58.34335984
623,COC1CC1O,-50.82006838
624,OCC1CC1O,-51.04034444
625,CC(=O)C1CC1,-54.5158898
626,CC(=O)C1CN1,-49.42657398
627,CC(=O)C1CO1,-46.85496321
628,CC(=O)N1CC1,-49.60453636
629,C1CC1C(=O)N,-50.2712422
630,NC(=O)C1CN1,-45.19506948
631,NC(=O)C1CO1,-42.67505147
632,C1CN1C(=O)N,-45.21479773
633,CC(C)C1CC1,-66.03971563
634,CC(C)C1CO1,-58.54360833
635,CC(C)N1CC1,-60.84754082
636,CC(O)C1CC1,-58.64317474
637,CC(O)C1CN1,-53.59505695
638,CC(O)C1CO1,-51.25294689
639,C1CC2(C1)CC2,-60.53490936
640,C1CC12CCO2,-53.06059838
641,C1CC12COC2,-52.93591587
642,C1C2(N1)COC2,-47.88872326
643,C1CC2(C1)CO2,-53.19450554
644,C1C2(CO1)CO2,-45.52032702
645,C1C2CC1C=C2,-55.29829839
646,C1C2OC1C=C2,-47.65258297
647,C1C2CC1CC2,-60.9996524
648,C1C2CC1OC2,-53.36294394
649,C1C2CCC1O2,-53.47829295
650,CC1C2CC1C2,-59.8382438
651,CC1C2CC1O2,-52.09513887
652,OC1C2CC1C2,-52.50926875
653,OC1C2CC1O2,-44.75043565
654,C1COCC=C1,-54.17068632
655,C1CCC=CC1,-61.82706861
656,C1CN=COC1,-49.87240511
657,C1CCCCC1,-66.92155458
658,C1CCOCC1,-59.30617983
659,C1COCCO1,-51.62998767
660,C1COCOC1,-51.84800519
661,C1CC2CCC12,-60.50816059
662,C1CC2OCC12,-53.02821684
663,C1OC2COC12,-45.4793739
664,CC1C2CCC12,-60.43746544
665,CC1C2COC12,-52.79251193
666,OC1C2CCC12,-53.04710153
667,OC1C2COC12,-45.35499072
668,C1C2CC=CC12,-56.22054623
669,C1C2OC=NC12,-44.32931245
670,C1C=CC2NC12,-51.09490324
671,C1C=CC2OC12,-48.75336462
672,C1C2CCCC12,-61.33647477
673,C1C2CCOC12,-53.67089504
674,C1C2COCC12,-53.79321016
675,C1C2OCOC12,-46.06567014
676,C1CC2OC2C1,-54.02507827
677,C1OCC2NC12,-48.66683246
678,C1OCC2OC12,-46.31838216
679,N=C1OC2CC12,-43.67776334
680,O=C1CC2CC12,-48.92846981
681,O=C1CC2CN12,-43.99801399
682,O=C1CC2NC12,-43.63923204
683,O=C1CC2OC12,-41.21377355
684,O=C1CN2CC12,-43.68998125
685,O=C1NC2CC12,-44.32185653
686,O=C1OC2CC12,-41.87808479
687,CC1CC2CC12,-60.47640491
688,CC1CC2OC12,-53.04748249
689,CC1OC2CC12,-52.91044602
690,OC1CC2CC12,-53.10487128
691,OC1CC2NC12,-48.07049523
692,OC1CC2OC12,-45.68481977
693,OC1CN2CC12,-47.91604348
694,C1C2C3CC2C13,-54.13596461
695,C1C2C3CN2C13,-48.81562424
696,C1C2C3OC2C13,-46.39827475
697,N1C2C3NC2C13,-43.60282322
698,N1C2C3OC2C13,-41.07553978
699,O1C2C3OC2C13,-38.5237661
700,C1CC1C2CC2,-60.45983319
701,C1CC1C1CO1,-53.02652974
702,C1CC1N2CC2,-55.11595498
703,C1NC1C1CN1,-50.38901302
704,C1NC1C1CO1,-47.92575794
705,C1OC1C1CO1,-45.51744261
706,C1C2C1C1CC21,-54.18823766
707,C1C2C1C1NC21,-49.11356156
708,C1C2C1C1OC21,-46.81384683
709,C1C2C1N1CC21,-49.06613214
710,N1C2C1C1NC21,-43.75049934
711,N1C2C1C1OC21,-41.44368244
712,O1C2C1C1OC21,-39.09202119
713,C1C2C3C1CN23,-49.6804833
714,C1C2C3CC1C23,-54.80993589
715,C1C2C3CC1N23,-49.99768627
716,C1C2C3CN1C23,-49.38072282
717,C1C2C3OC1C23,-47.08721228
718,C12C3C1C1C2C31,-48.13833318
719,C12C3C1N1C2C31,-43.13693731
720,c1ccnnc1,-42.65439804
721,c1cnnnc1,-37.07127745
722,c1nncnn1,-31.91480397
723,c1ncnnn1,-32.21426513
724,c1cnnnn1,-31.37743378
725,Cc1ccn[nH]1,-47.92469669
726,Cc1ccno1,-44.74371444
727,Cc1cnn[nH]1,-42.73037219
728,Cc1cnno1,-39.70776013
729,Cc1c[nH]nc1,-47.84785178
730,Cc1c[nH]nn1,-42.74495749
731,Cc1cnoc1,-44.59320834
732,Cc1conn1,-39.62759543
733,Cc1[nH]ncn1,-43.51912104
734,Cc1ncno1,-40.3580303
735,Cc1cc[nH]n1,-47.92344497
736,Cc1nc[nH]n1,-43.48595038
737,Cc1cn[nH]n1,-42.90183105
738,Cc1n[nH]nn1,-37.84067901
739,Cc1ccon1,-44.69116928
740,Cc1ncon1,-40.29879115
