i,smiles,A_G_eV,status
135,[H]C#CC1([H])C([H])([H])C1([H])[H],-44.05085754394531,OK
136,[H]C#C[C@]1([H])N([H])C1([H])[H],-38.92132186889648,OK
137,[H]C#C[C@]1([H])OC1([H])[H],-36.42513656616211,OK
138,[H]C1([H])C([H])([H])C1([H])C#N,-40.8208122253418,OK
139,[H]N1C([H])([H])[C@]1([H])C#N,-35.62311172485352,OK
140,[H]C1([H])O[C@@]1([H])C#N,-33.07633972167969,OK
141,[H]C(=O)C1([H])C([H])([H])C1([H])[H],-43.06771087646485,OK
142,[H]C(=O)[C@]1([H])N([H])C1([H])[H],-37.95915222167969,OK
143,[H]C(=O)[C@]1([H])OC1([H])[H],-35.41268539428711,OK
144,[H]C(=O)N1C([H])([H])C1([H])[H],-38.18560791015625,OK
145,[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],-54.921043395996094,OK
146,[H]C([H])([H])C([H])([H])[C@]1([H])OC1([H])[H],-47.47429656982422,OK
147,[H]C([H])([H])C([H])([H])[NH+]1C([H])([H])C1([H])[H],-49.66976547241211,OK
148,[H]C([H])([H])OC1([H])C([H])([H])C1([H])[H],-47.17662811279297,OK
149,[H]OC([H])([H])C1([H])C([H])([H])C1([H])[H],-47.38629150390625,OK
150,[H]OC([H])([H])[C@]1([H])N([H])C1([H])[H],-42.288211822509766,OK
151,[H]OC([H])([H])[C@]1([H])OC1([H])[H],-39.96403503417969,OK
152,[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H],-50.59925079345703,OK
153,[H]C1=NC([H])([H])C([H])([H])O1,-38.785152435302734,OK
154,[H]C1=C([H])C([H])([H])OC1([H])[H],-42.98229217529297,OK
155,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],-55.68383407592773,OK
156,[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],-48.11713409423828,OK
157,[H]C1([H])OC([H])([H])C([H])([H])O1,-40.646087646484375,OK
158,[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@]12[H],-49.3234977722168,OK
159,[H]C1([H])O[C@@]2([H])C([H])([H])[C@@]12[H],-41.61674499511719,OK
160,[H]C1([H])C([H])([H])[C@@]2([H])O[C@@]12[H],-41.86415100097656,OK
161,[H]c1nn([H])c([H])c1[H],-36.60432434082031,OK
162,[H]c1nnn([H])c1[H],-31.407548904418945,OK
163,[H]c1nc([H])n([H])n1,-32.100433349609375,OK
164,[H]c1nnc([H])n1[H],-31.848970413208008,OK
165,[H]c1nn([H])nc1[H],-31.566762924194336,OK
166,[H]c1noc([H])c1[H],-33.3365364074707,OK
167,[H]c1nnoc1[H],-28.28564071655273,OK
168,[H]c1noc([H])n1,-28.866140365600582,OK
169,[H]c1nnc([H])o1,-29.109872817993164,OK
170,[H]c1nnno1,-23.221981048583984,OK
171,[H]c1nonc1[H],-27.811153411865234,OK
172,[H]c1nnon1,-22.77410888671875,OK
173,n1nnon1,-17.212291717529297,OK
174,[H]C#C/C(=N/O[H])C([H])([H])[H],-42.72506713867188,OK
175,[H]O/N=C(\C([H])([H])[H])C([H])([H])O[H],-46.22192001342773,OK
176,[H]O/N=C(\C([H])([H])[H])C([H])([H])C([H])([H])[H],-53.66997528076172,OK
177,[H]ONC1C([H])([H])C([H])([H])C1([H])[H],-48.11865997314453,OK
178,[H]ONC1C([H])([H])N([H])C1([H])[H],-42.85467147827149,OK
179,[H]ONC1C([H])([H])OC1([H])[H],-40.374053955078125,OK
180,FC(F)(F)F,-19.498756408691406,OK
181,[H]c1c([H])n([H])c(=O)n1[H],-41.59527206420898,OK
182,[H]c1oc(=O)n([H])c1[H],-38.89614868164063,OK
183,[H]c1oc(=O)oc1[H],-36.15895462036133,OK
184,[H]c1c([H])c(C([H])([H])[H])n([H])c1[H],-52.907073974609375,OK
185,[H]c1oc(C([H])([H])[H])c([H])c1[H],-50.19197845458984,OK
186,[H]c1nc([H])c(C([H])([H])[H])o1,-45.67110443115234,OK
187,[H]c1nc(C([H])([H])[H])oc1[H],-45.72819519042969,OK
188,[H]c1c([H])c(N([H])[H])n([H])c1[H],-47.93941879272461,OK
189,[H]c1oc(N([H])[H])c([H])c1[H],-45.26794052124024,OK
190,[H]c1nc([H])c(N([H])[H])o1,-40.72630310058594,OK
191,[H]c1nc(N([H])[H])oc1[H],-40.92693710327149,OK
192,[H]Oc1c([H])c([H])c([H])n1[H],-45.44674682617188,OK
193,[H]Oc1c([H])nc([H])n1[H],-40.84715270996094,OK
194,[H]Oc1nc([H])c([H])n1[H],-41.144901275634766,OK
195,[H]c1c(C([H])([H])[H])c([H])n([H])c1[H],-52.85189056396485,OK
196,[H]c1nc(C([H])([H])[H])c([H])n1[H],-48.3690299987793,OK
197,[H]c1oc([H])c(C([H])([H])[H])c1[H],-50.08021926879883,OK
198,[H]c1nc(C([H])([H])[H])c([H])o1,-45.63047790527344,OK
199,[H]c1c(N([H])[H])c([H])n([H])c1[H],-47.84853363037109,OK
200,[H]c1nc(N([H])[H])c([H])n1[H],-43.46978378295898,OK
201,[H]c1oc([H])c(N([H])[H])c1[H],-45.08513259887695,OK
202,[H]c1nc(N([H])[H])c([H])o1,-40.73155975341797,OK
203,[H]Oc1c([H])c([H])n([H])c1[H],-45.34503173828125,OK
204,[H]Oc1nc([H])n([H])c1[H],-41.04318237304688,OK
205,[H]Oc1nc([H])oc1[H],-38.255130767822266,OK
206,[H]c1c([H])c([H])n(C([H])([H])[H])c1[H],-52.642364501953125,OK
207,[H]c1nc([H])n(C([H])([H])[H])c1[H],-48.09871292114258,OK
208,[H]c1c([H])c([H])c([H])c([H])c1[H],-53.29576110839844,OK
209,[H]c1nc([H])c([H])c([H])c1[H],-48.41471862792969,OK
210,[H]c1nc([H])c([H])nc1[H],-43.434383392333984,OK
211,[H]c1nc([H])c([H])c([H])n1,-43.60377502441406,OK
212,[H]c1nc([H])nc([H])n1,-38.85737228393555,OK
213,[H]C#CC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-60.67560195922852,OK
214,[H]C([H])([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],-57.47867202758789,OK
215,[H]N([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],-52.52617263793945,OK
216,[H]C#CC(O[H])(C([H])([H])[H])C([H])([H])[H],-53.22074508666992,OK
217,[H]OC(C#N)(C([H])([H])[H])C([H])([H])[H],-49.96865463256836,OK
218,[H]C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-59.64684677124024,OK
219,[H]OC(C([H])=O)(C([H])([H])[H])C([H])([H])[H],-52.29432678222656,OK
220,[H]OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-64.0881576538086,OK
221,[H]OC([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H],-56.79215621948242,OK
222,[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-71.50586700439453,OK
223,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-64.25789642333984,OK
224,[H]C([H])([H])OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-63.941890716552734,OK
225,[H]C([H])([H])C#CC(=O)C([H])([H])[H],-49.30287551879883,OK
226,[H]N([H])C(=O)C#CC([H])([H])[H],-45.059173583984375,OK
227,[H]C([H])([H])C#CC([H])(C([H])([H])[H])C([H])([H])[H],-61.01242446899414,OK
228,[H]O[C@@]([H])(C#CC([H])([H])[H])C([H])([H])[H],-53.5532112121582,OK
229,[H]C#CC([H])([H])C(=O)C([H])([H])[H],-48.95029830932617,OK
230,[H]C([H])([H])C(=O)C([H])([H])C#N,-45.660682678222656,OK
231,[H]C#CC([H])([H])C(=O)N([H])[H],-44.660831451416016,OK
232,[H]N([H])C(=O)C([H])([H])C#N,-41.40495681762695,OK
233,[H]/N=C(/N([H])C([H])=O)C([H])([H])[H],-46.03756332397461,OK
234,[H][N-]C(OC([H])=O)C([H])([H])[H],-43.40390396118164,OK
235,[H]C(=O)C([H])([H])C(=O)C([H])([H])[H],-47.877567291259766,OK
236,[H]/N=C(\[H])N([H])C(=O)C([H])([H])[H],-45.82520294189453,OK
237,[H]C(=O)N([H])C(=O)C([H])([H])[H],-43.92057037353516,OK
238,[H][N-][C+]([H])OC(=O)C([H])([H])[H],-43.50929641723633,OK
239,[H]C(=O)C([H])([H])C(=O)N([H])[H],-43.66413116455078,OK
240,[H]/N=C(\[H])N([H])C(=O)N([H])[H],-41.32435989379883,OK
241,[H]C(=O)N([H])C(=O)N([H])[H],-39.4516716003418,OK
242,[H][N-][C+]([H])OC(=O)N([H])[H],-39.15683364868164,OK
243,[H]C#CC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-60.6760368347168,OK
244,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,-57.47298812866211,OK
245,[H]C#CC([H])([H])[C@]([H])(O[H])C([H])([H])[H],-53.287628173828125,OK
246,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C#N,-50.03790283203125,OK
247,[H]C([H])([H])[NH+](C([H])([H])[H])C([H])([H])C#N,-51.95083999633789,OK
248,[H]C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-59.58281707763672,OK
249,[H]C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H],-55.46290588378906,OK
250,[H]C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],-52.8516731262207,OK
251,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])=O,-52.18009567260742,OK
252,[H]C(=O)C([H])([H])[NH+](C([H])([H])[H])C([H])([H])[H],-54.16252517700195,OK
253,[H]OC([H])([H])C([H])([H])C(=O)C([H])([H])[H],-52.4270133972168,OK
254,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],-59.964839935302734,OK
255,[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],-55.71077346801758,OK
256,[H]N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H],-55.67338562011719,OK
257,[H]N([H])C(=O)N([H])C([H])([H])C([H])([H])[H],-51.12483978271485,OK
258,[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],-53.20716094970703,OK
259,[H]N([H])C(=O)OC([H])([H])C([H])([H])[H],-48.75301361083984,OK
260,[H]C([H])([H])OC([H])([H])C(=O)C([H])([H])[H],-52.048583984375,OK
261,[H]N([H])C(=O)C([H])([H])OC([H])([H])[H],-47.75617980957031,OK
262,[H]OC([H])([H])C([H])([H])C(=O)N([H])[H],-48.21338272094727,OK
263,[H]C([H])(C(=O)[O-])C([H])([H])[N+]([H])([H])[H],-46.154083251953125,OK
264,[H]OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-64.01008605957031,OK
265,[H]OC([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])[H],-56.67481994628906,OK
266,[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-71.53626251220703,OK
267,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],-64.19574737548828,OK
268,[H]C([H])([H])C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],-64.07286071777344,OK
269,[H]C([H])([H])OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-63.876068115234375,OK
270,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[H],-56.5171012878418,OK
271,[H]C([H])([H])C(=O)C(=O)C([H])([H])[H],-48.12105178833008,OK
272,[H]N([H])C(=O)C(=O)C([H])([H])[H],-43.99368667602539,OK
273,[H]N([H])C(C(=O)[O-])=[N+]([H])[H],-39.07688903808594,OK
274,[H]N([H])C(=O)C(=O)N([H])[H],-39.90003204345703,OK
275,[H]C([H])([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],-59.90905380249024,OK
276,[H]N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],-55.73393249511719,OK
277,[H]O[C@@]([H])(C(=O)C([H])([H])[H])C([H])([H])[H],-52.60707092285156,OK
278,[H]O[C@@]([H])(C(=O)N([H])[H])C([H])([H])[H],-48.39379501342773,OK
279,[H]C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H],-55.33378601074219,OK
280,[H]N([H])C(=O)N(C([H])([H])[H])C([H])([H])[H],-50.83489990234375,OK
281,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-71.48540496826172,OK
282,[H]O[C@]([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-64.16213989257812,OK
283,[H]O[C@]([H])(C([H])([H])[H])[C@]([H])(O[H])C([H])([H])[H],-56.89360046386719,OK
284,[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],-66.1185302734375,OK
285,[H]C([H])([H])C1(C([H])([H])[H])OC([H])([H])C1([H])[H],-58.8186149597168,OK
286,[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])OC1([H])[H],-58.60799789428711,OK
287,[H]OC1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],-58.82987976074219,OK
288,[H]OC1(C([H])([H])[H])C([H])([H])OC1([H])[H],-51.23099136352539,OK
289,[H]O[C@]1([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],-58.68465042114258,OK
290,[H]O[C@]1(C([H])([H])[H])C([H])([H])[C@@]1([H])O[H],-51.27109909057617,OK
291,[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])[H],-66.13382720947266,OK
292,[H]O[C@@]1(C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])[H],-58.74171447753906,OK
293,[H]C([H])([H])C1(C([H])([H])[H])O[C@]1([H])C([H])([H])[H],-58.927024841308594,OK
294,[H]C([H])([H])[N@H+]1C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],-60.88444900512695,OK
295,[H][N-]C1O[C@@]([H])(C([H])([H])[H])C1([H])[H],-49.722774505615234,OK
296,[H]C([H])([H])C1([H])C([H])([H])C(=O)C1([H])[H],-54.51023483276367,OK
297,[H]N1C(=O)C([H])([H])[C@]1([H])C([H])([H])[H],-50.31663131713867,OK
298,[H]C([H])([H])[C@]1([H])OC(=O)C1([H])[H],-47.95563888549805,OK
299,[H]C([H])([H])[NH+]1C([H])([H])C(=O)C1([H])[H],-49.13448715209961,OK
300,[H]OC1([H])C([H])([H])C(=O)C1([H])[H],-47.05358123779297,OK
301,[H]C([H])([H])[C@]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])C1([H])[H],-66.16307830810547,OK
302,[H]C([H])([H])[C@]1([H])O[C@]([H])(C([H])([H])[H])C1([H])[H],-58.86261367797852,OK
303,[H]O[C@]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])C1([H])[H],-58.754642486572266,OK
304,[H]O[C@]1([H])C([H])([H])[N@@H+](C([H])([H])[H])C1([H])[H],-53.46052932739258,OK
305,[H]O[C@]1([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],-51.33308410644531,OK
306,[H]C([H])([H])[C@]12C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],-60.04715347290039,OK
308,[H]C([H])([H])C12C([H])([H])[NH+](C1([H])[H])C2([H])[H],-54.51665496826172,OK
309,[H]O[C@]12C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],-52.7177963256836,OK
310,[H]OC12C([H])([H])[NH+](C1([H])[H])C2([H])[H],-47.24985122680664,OK
311,[H]C#CC(=O)C#C[H],-37.68478012084961,OK
312,[H]C#CC(=O)C#N,-34.171573638916016,OK
313,N#CC(=O)C#N,-30.499042510986328,OK
314,[H]C#CC(=O)C([H])=O,-36.41427993774414,OK
315,[H]C(=O)C(=O)C#N,-32.84128952026367,OK
316,[H]C(=O)C(=O)C([H])=O,-34.9436149597168,OK
317,[H]C#CC([H])(C#C[H])C([H])([H])[H],-49.59395217895508,OK
318,[H]C#C[C@@]([H])(C#N)C([H])([H])[H],-46.32736587524414,OK
319,[H]C([H])([H])C([H])(C#N)C#N,-42.96060562133789,OK
320,[H]C#C[C@@]([H])(C#N)N([H])[H],-41.22381210327149,OK
321,[H]N([H])C([H])(C#N)C#N,-37.82051086425781,OK
322,[H]C#CC([H])(C#C[H])O[H],-42.02295303344727,OK
323,[H]C#C[C@@]([H])(C#N)O[H],-38.69268798828125,OK
324,[H]OC([H])(C#N)C#N,-35.245689392089844,OK
325,[H]C#C[C@]([H])(C([H])=O)C([H])([H])[H],-48.62449264526367,OK
326,[H]C(=O)[C@@]([H])(C#N)C([H])([H])[H],-45.32707214355469,OK
327,[H]C#C[C@@]([H])(O[H])C([H])=O,-41.14522552490234,OK
328,[H]O[C@]([H])(C#N)C([H])=O,-37.78450775146485,OK
329,[H]C(=O)C([H])(C([H])=O)C([H])([H])[H],-47.482051849365234,OK
330,[H]/N=C(\[H])N(C([H])=O)C([H])([H])[H],-45.7927131652832,OK
331,[H]C(=O)N(C([H])=O)C([H])([H])[H],-43.84478759765625,OK
332,[H]OC([H])(C([H])=O)C([H])=O,-40.042240142822266,OK
